1.665234565734863281e+01,2.066198539733886719e+01,3.039739227294921875e+01,3.204014587402343750e+01,1.488882598876953125e+02,1.719027900695800781e+01,1.686306762695312500e+01,4.714280128479003906e+00,2.214427947998046875e+00,1.012852478027343750e+01,1.541430511474609375e+02,1.297112178802490234e+01,2.798282241821289062e+01,1.391839447021484375e+02,1.132779788970947266e+01,0.000000000000000000e+00
2.896538734436035156e+01,2.285790252685546875e+01,5.013329696655273438e+01,2.799732780456542969e+01,1.263523254394531250e+02,2.188805007934570312e+01,1.759135437011718750e+01,1.152676296234130859e+01,8.080068588256835938e+00,2.419469451904296875e+01,1.528576965332031250e+02,1.216628837585449219e+01,3.682454299926757812e+01,1.430737609863281250e+02,1.027340316772460938e+01,0.000000000000000000e+00
1.763654327392578125e+01,6.787623882293701172e+00,3.516712903976440430e+00,3.994379425048828125e+01,3.037756919860839844e+00,2.244798183441162109e+00,6.042232513427734375e+01,1.189160156250000000e+02,2.983856773376464844e+01,6.910933685302734375e+01,1.155218658447265625e+02,3.497065734863281250e+01,6.895989227294921875e+01,1.110322952270507812e+02,3.436838531494140625e+01,0.000000000000000000e+00
2.187640762329101562e+01,2.361614990234375000e+01,2.336121749877929688e+01,2.626524734497070312e+01,1.350476226806640625e+02,3.288009262084960938e+01,1.733521080017089844e+01,5.084513187408447266e+00,2.252233266830444336e+00,1.391513633728027344e+01,1.350771484375000000e+02,2.317176628112792969e+01,2.294397926330566406e+01,1.191871261596679688e+02,2.330206298828125000e+01,0.000000000000000000e+00
2.181391906738281250e+01,2.370281410217285156e+01,3.157456588745117188e+01,3.345298385620117188e+01,1.202440338134765625e+02,3.219858169555664062e+01,1.702706527709960938e+01,3.780845403671264648e+00,2.129264593124389648e+00,1.394172668457031250e+01,1.479488220214843750e+02,1.480720710754394531e+01,2.960750007629394531e+01,1.324676513671875000e+02,1.210118579864501953e+01,0.000000000000000000e+00
2.143153381347656250e+01,7.522417068481445312e+00,2.736127853393554688e+01,3.518470001220703125e+01,9.217814636230468750e+01,3.181142807006835938e+01,1.023586940765380859e+01,6.133268833160400391e+00,2.886631965637207031e+00,5.756256103515625000e+00,5.607107162475585938e+00,2.819574356079101562e+00,4.516482830047607422e+00,6.516705513000488281e+00,1.808716058731079102e+00,1.000000000000000000e+00
2.988254928588867188e+01,2.276425933837890625e+01,2.102756309509277344e+01,2.143786430358886719e+01,1.243880920410156250e+02,2.146331977844238281e+01,5.504648685455322266e+00,5.647488117218017578e+00,1.093058705329895020e+00,3.080834388732910156e+00,2.599359750747680664e+00,9.682111144065856934e-01,3.502127885818481445e+00,5.335764884948730469e+00,9.010914564132690430e-01,1.000000000000000000e+00
1.835701560974121094e+01,1.411091518402099609e+01,5.853430938720703125e+01,2.486898803710937500e+01,1.130821838378906250e+02,1.814729690551757812e+01,4.736923217773437500e+00,6.379208087921142578e+00,4.072195053100585938e+00,4.025413990020751953e+00,5.872514724731445312e+00,4.307579994201660156e+00,2.810975313186645508e+00,2.462626695632934570e+00,4.684476852416992188e+00,1.000000000000000000e+00
2.323838615417480469e+01,1.665897941589355469e+01,6.355506134033203125e+01,1.866036415100097656e+01,1.014222946166992188e+02,4.172772598266601562e+01,4.488473892211914062e+00,7.678321838378906250e+00,2.677110433578491211e+00,4.054272174835205078e+00,4.444303989410400391e+00,3.355446100234985352e+00,4.316240787506103516e+00,4.230881690979003906e+00,3.714463233947753906e+00,1.000000000000000000e+00
1.273652458190917969e+01,1.669778442382812500e+01,2.332599258422851562e+01,3.700767898559570312e+01,9.647154235839843750e+01,2.280338096618652344e+01,9.672398567199707031e+00,2.194174575805664062e+01,1.245401668548583984e+01,2.526204824447631836e+00,1.078977489471435547e+01,5.745939731597900391e+00,5.854906558990478516e+00,7.559681892395019531e+00,4.753495216369628906e+00,1.000000000000000000e+00
